city,location,amenities
Faisalabad,Nemat Colony No 2,Main market; Mosque; Park
Faisalabad,Shalimar Park,Park; Main market; Mosque
Faisalabad,Madina Town,Park; Mosque; Main market
Faisalabad,Rehman Town,Park; Main market; Mosque
Faisalabad,Jhang Road,Main market; Mosque; Public transport
Faisalabad,D Ground,Main market; Parking; Public transport
Faisalabad,People's Colony,Park; Main market; Public transport
Faisalabad,DHA,No verified amenities listed
Lahore,DHA Defence,Park; Mosque; Main market; Public transport
Lahore,Gulberg,Main market; Restaurants; Public transport
Lahore,Wapda Town,Park; Mosque; Main market
Lahore,Johar Town,Park; Main market; Public transport
Islamabad,DHA Defence,Park; Mosque; Main market; Public transport
Islamabad,Ghauri Town,Park; Mosque; Main market
Islamabad,B-17,Park; Mosque; Main market
Islamabad,Blue Area,Main market; Parking; Public transport
Karachi,DHA Defence,Park; Mosque; Main market
Karachi,Clifton,Park; Restaurants; Public transport
