city,location,school,hospital
Faisalabad,Nemat Colony No 2,Nemat School Faisalabad,Allied Hospital Faisalabad
Faisalabad,Shalimar Park,Shalimar School Faisalabad,Allied Hospital Faisalabad
Faisalabad,Madina Town,Madina Town School,National Hospital Faisalabad
Faisalabad,Rehman Town,Rehman Town School,National Hospital Faisalabad
Faisalabad,Jhang Road,Jhang Road Public School,Allied Hospital Faisalabad
Faisalabad,D Ground,D Ground School,Allied Hospital Faisalabad
Faisalabad,People's Colony,People's Colony School,National Hospital Faisalabad
Faisalabad,DHA,Not available in verified data,Not available in verified data
Lahore,DHA Defence,DHA School Lahore,National Hospital Lahore
Lahore,Gulberg,Gulberg School Lahore,Doctors Hospital Lahore
Lahore,Wapda Town,Wapda Town School,Shaukat Khanum Hospital
Lahore,Johar Town,Johar Town School,Shaukat Khanum Hospital
Islamabad,DHA Defence,DHA School Islamabad,PIMS Hospital Islamabad
Islamabad,Ghauri Town,Ghauri School Islamabad,PIMS Hospital Islamabad
Islamabad,B-17,B-17 School Islamabad,Al-Shifa Hospital Islamabad
Islamabad,Blue Area,Not available in verified data,PIMS Hospital Islamabad
Karachi,DHA Defence,DHA School Karachi,Aga Khan Hospital
Karachi,Clifton,Clifton School Karachi,Aga Khan Hospital
