player_id,player_name,team,year,games_played,last_age,height,weight,goals,kicks,marks,handballs,disposals,hit_outs,tackles,clearances,contested_marks,goal_assists,brownlow_votes,total_fantasy_points,avg_fantasy_points,avg_score,Goals_Per_Game,Fantasy_Per_Game,Disposals_Per_Game,Tackles_Per_Game,Marks_Per_Game,Performance_Index
43261,Ryan Abbott,Geelong Cats,2018,3,29.0,200.0,100.0,3.0,17.0,9.0,21.0,38.0,82.0,18.0,8.0,1.0,1.0,0.0,278,92.7,6.7,1.0,92.66666666666667,12.666666666666666,6.0,3.0,36.23333333333333
43261,Ryan Abbott,Geelong Cats,2018,1,29.0,200.0,100.0,0.0,3.0,2.0,2.0,5.0,27.0,5.0,0.0,1.0,0.0,0.0,61,61.0,1.0,0.0,61.0,5.0,5.0,2.0,22.799999999999997
43261,Ryan Abbott,Geelong Cats,2019,1,29.0,200.0,100.0,1.0,5.0,3.0,6.0,11.0,24.0,4.0,3.0,0.0,0.0,0.0,74,74.0,6.0,1.0,74.0,11.0,4.0,3.0,28.749999999999996
43261,Ryan Abbott,St Kilda Saints,2020,1,29.0,200.0,100.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,22,22.0,6.0,1.0,22.0,3.0,0.0,2.0,8.549999999999999
43262,Gary Ablett,Geelong Cats,2002,12,36.0,182.0,87.0,10.0,37.0,13.0,63.0,100.0,0.0,25.0,13.0,3.0,0.0,0.0,443,36.9,5.3,0.8333333333333334,36.916666666666664,8.333333333333334,2.0833333333333335,1.0833333333333333,15.954166666666666
43262,Gary Ablett,Geelong Cats,2003,22,36.0,182.0,87.0,26.0,189.0,61.0,138.0,327.0,0.0,77.0,50.0,6.0,11.0,3.0,1498,68.1,8.0,1.1818181818181819,68.0909090909091,14.863636363636363,3.5,2.772727272727273,31.925000000000004
43262,Gary Ablett,Geelong Cats,2004,18,36.0,182.0,87.0,31.0,148.0,38.0,103.0,251.0,0.0,79.0,38.0,11.0,15.0,3.0,1231,68.4,11.7,1.7222222222222223,68.38888888888889,13.944444444444445,4.388888888888889,2.111111111111111,30.822222222222223
43262,Gary Ablett,Geelong Cats,2004,3,36.0,182.0,87.0,4.0,30.0,8.0,20.0,50.0,0.0,14.0,11.0,0.0,2.0,0.0,227,75.7,8.3,1.3333333333333333,75.66666666666667,16.666666666666668,4.666666666666667,2.6666666666666665,31.083333333333332
43262,Gary Ablett,Geelong Cats,2005,22,36.0,182.0,87.0,26.0,236.0,60.0,172.0,408.0,0.0,74.0,50.0,8.0,17.0,3.0,1673,76.0,8.2,1.1818181818181819,76.04545454545455,18.545454545454547,3.3636363636363638,2.727272727272727,35.24318181818182
43262,Gary Ablett,Geelong Cats,2005,2,36.0,182.0,87.0,3.0,21.0,5.0,6.0,27.0,0.0,12.0,4.0,0.0,0.0,0.0,150,75.0,10.0,1.5,75.0,13.5,6.0,2.5,29.825
43262,Gary Ablett,Geelong Cats,2006,21,36.0,182.0,87.0,35.0,212.0,74.0,142.0,354.0,0.0,65.0,35.0,4.0,17.0,5.0,1617,77.0,11.3,1.6666666666666667,77.0,16.857142857142858,3.0952380952380953,3.5238095238095237,33.97380952380952
43262,Gary Ablett,Geelong Cats,2007,22,36.0,182.0,87.0,26.0,315.0,87.0,270.0,585.0,0.0,68.0,81.0,9.0,18.0,20.0,2168,98.5,8.1,1.1818181818181819,98.54545454545455,26.59090909090909,3.090909090909091,3.9545454545454546,47.520454545454555
43262,Gary Ablett,Geelong Cats,2007,3,36.0,182.0,87.0,4.0,43.0,11.0,39.0,82.0,0.0,18.0,19.0,1.0,0.0,0.0,344,114.7,9.0,1.3333333333333333,114.66666666666667,27.333333333333332,6.0,3.6666666666666665,47.36666666666667
43263, Luke Ablett ,SYDNEY SWANS,2006,3,26.0,184.0,89.0,0.0,29.0,7.0,12.0,41.0,3.0,5.0,10.0,1.0,0.0,0.0,148,49.3,0.3,0.0,49.333333333333336,13.666666666666666,1.6666666666666667,2.3333333333333335,20.71666666666667
43262,Gary Ablett,Geelong Cats,2008,18,36.0,182.0,87.0,23.0,246.0,84.0,262.0,508.0,0.0,86.0,88.0,7.0,16.0,22.0,2011,111.7,8.9,1.2777777777777777,111.72222222222223,28.22222222222222,4.777777777777778,4.666666666666667,53.33611111111111
43262,Gary Ablett,Geelong Cats,2008,3,36.0,182.0,87.0,3.0,42.0,16.0,56.0,98.0,0.0,9.0,15.0,1.0,3.0,0.0,336,112.0,6.7,1.0,112.0,32.666666666666664,3.0,5.333333333333333,46.633333333333326
43262,Gary Ablett,Geelong Cats,2009,19,36.0,182.0,87.0,24.0,252.0,81.0,402.0,654.0,0.0,83.0,87.0,18.0,14.0,30.0,2257,118.8,8.6,1.263157894736842,118.78947368421052,34.421052631578945,4.368421052631579,4.2631578947368425,56.555263157894736
43262,Gary Ablett,Geelong Cats,2009,3,36.0,182.0,87.0,3.0,47.0,12.0,43.0,90.0,0.0,9.0,20.0,3.0,2.0,0.0,320,106.7,8.0,1.0,106.66666666666667,30.0,3.0,4.0,44.733333333333334
43262,Gary Ablett,Geelong Cats,2010,21,36.0,182.0,87.0,44.0,300.0,97.0,359.0,659.0,0.0,88.0,107.0,14.0,13.0,26.0,2500,119.0,13.7,2.0952380952380953,119.04761904761905,31.38095238095238,4.190476190476191,4.619047619047619,58.37380952380952
43262,Gary Ablett,Geelong Cats,2010,3,36.0,182.0,87.0,0.0,38.0,9.0,59.0,97.0,0.0,13.0,22.0,0.0,2.0,0.0,306,102.0,1.0,0.0,102.0,32.333333333333336,4.333333333333333,3.0,43.48333333333333
43262,Gary Ablett,Gold Coast Suns,2011,20,36.0,182.0,87.0,18.0,304.0,45.0,301.0,605.0,0.0,119.0,133.0,4.0,15.0,23.0,2243,112.2,6.3,0.9,112.15,30.25,5.95,2.25,58.09
43262,Gary Ablett,Gold Coast Suns,2012,20,36.0,182.0,87.0,26.0,389.0,61.0,286.0,675.0,0.0,110.0,132.0,14.0,19.0,24.0,2494,124.7,8.8,1.3,124.7,33.75,5.5,3.05,63.022499999999994
43262,Gary Ablett,Gold Coast Suns,2013,21,36.0,182.0,87.0,28.0,343.0,73.0,312.0,655.0,0.0,96.0,124.0,9.0,17.0,28.0,2407,114.6,9.1,1.3333333333333333,114.61904761904762,31.19047619047619,4.571428571428571,3.4761904761904763,58.266666666666666
43262,Gary Ablett,Gold Coast Suns,2014,15,36.0,182.0,87.0,24.0,254.0,30.0,227.0,481.0,0.0,91.0,118.0,3.0,19.0,22.0,1787,119.1,10.1,1.6,119.13333333333334,32.06666666666667,6.066666666666666,2.0,59.43333333333334
43262,Gary Ablett,Gold Coast Suns,2015,6,36.0,182.0,87.0,10.0,94.0,12.0,43.0,137.0,0.0,28.0,37.0,1.0,4.0,5.0,567,94.5,10.5,1.6666666666666667,94.5,22.833333333333332,4.666666666666667,2.0,41.2
43262,Gary Ablett,Gold Coast Suns,2016,14,36.0,182.0,87.0,10.0,203.0,28.0,175.0,378.0,0.0,85.0,103.0,0.0,5.0,6.0,1417,101.2,5.1,0.7142857142857143,101.21428571428571,27.0,6.071428571428571,2.0,50.724999999999994
43262,Gary Ablett,Gold Coast Suns,2017,14,36.0,182.0,87.0,8.0,267.0,49.0,195.0,462.0,0.0,77.0,106.0,2.0,12.0,14.0,1664,118.9,4.2,0.5714285714285714,118.85714285714286,33.0,5.5,3.5,58.16428571428572
