dataset,column,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
afl_players_round_by_round_stats_raw,kicks,6.0,12.0,6.0,-3.0,21.0,3265,1.2
afl_players_round_by_round_stats_raw,marks,2.0,6.0,4.0,-4.0,12.0,1409,0.53
afl_players_round_by_round_stats_raw,handballs,3.0,9.0,6.0,-6.0,18.0,3144,1.17
afl_players_round_by_round_stats_raw,disposals,10.0,20.0,10.0,-5.0,35.0,1658,0.62
afl_players_round_by_round_stats_raw,goals,0.0,1.0,1.0,-1.5,2.5,16212,8.13
afl_players_round_by_round_stats_raw,tackles,1.0,4.0,3.0,-3.5,8.5,4114,1.68
afl_players_round_by_round_stats_raw,free_kicks_for,0.0,2.0,2.0,-3.0,5.0,356,0.16
afl_players_round_by_round_stats_raw,free_kicks_against,0.0,2.0,2.0,-3.0,5.0,317,0.14
afl_players_round_by_round_stats_raw,contested_marks,0.0,1.0,1.0,-1.5,2.5,8778,4.79
afl_players_round_by_round_stats_raw,marks_inside_50,0.0,1.0,1.0,-1.5,2.5,13273,7.26
afl_players_round_by_round_stats_raw,goal_assist,0.0,1.0,1.0,-1.5,2.5,2806,1.65
afl_players_round_by_round_stats_raw,fantasy_points,45.0,84.0,39.0,-13.5,142.5,1375,0.5
afl_players_seasonal_stats_raw,kicks,20.0,161.0,141.0,-191.5,372.5,125,0.49
afl_players_seasonal_stats_raw,marks,9.0,70.0,61.0,-82.5,161.5,133,0.53
afl_players_seasonal_stats_raw,handballs,13.0,103.0,90.0,-122.0,238.0,752,2.96
afl_players_seasonal_stats_raw,disposals,34.0,268.0,234.0,-317.0,619.0,155,0.61
afl_players_seasonal_stats_raw,goals,1.0,9.0,8.0,-11.0,21.0,1950,8.5
afl_players_seasonal_stats_raw,tackles,6.0,38.0,32.0,-42.0,86.0,982,3.93
afl_players_seasonal_stats_raw,free_kicks_for,2.0,14.75,12.75,-17.125,33.875,526,2.15
afl_players_seasonal_stats_raw,free_kicks_against,2.0,15.0,13.0,-17.5,34.5,307,1.25
afl_players_seasonal_stats_raw,contested_marks,1.0,7.0,6.0,-8.0,16.0,1846,8.98
afl_players_seasonal_stats_raw,marks_inside_50,1.0,7.0,6.0,-8.0,16.0,2085,10.26
afl_players_seasonal_stats_raw,goal_assists,1.0,6.0,5.0,-6.5,13.5,1237,6.72
afl_players_seasonal_stats_raw,total_score,1.0,54.0,53.0,-78.5,133.5,2198,8.62
afl_players_seasonal_stats_raw,total_fantasy_points,151.0,1176.0,1025.0,-1386.5,2713.5,3,0.01
afl_players_seasonal_stats_raw,avg_kicks,5.8,10.7,4.8999999999999995,-1.5499999999999998,18.049999999999997,193,0.76
afl_players_seasonal_stats_raw,avg_marks,2.6,4.7,2.1,-0.5500000000000003,7.8500000000000005,398,1.57
afl_players_seasonal_stats_raw,avg_handballs,3.7,7.3,3.5999999999999996,-1.6999999999999993,12.7,814,3.21
afl_players_seasonal_stats_raw,avg_disposals,10.0,17.5,7.5,-1.25,28.75,276,1.08
afl_players_seasonal_stats_raw,avg_goals,0.1,1.3,1.2,-1.6999999999999997,3.0999999999999996,341,1.49
afl_players_seasonal_stats_raw,avg_tackles,1.6,3.0,1.4,-0.49999999999999956,5.1,1141,4.57
afl_players_seasonal_stats_raw,avg_free_kicks_for,0.6,1.5,0.9,-0.7500000000000001,2.85,328,1.34
afl_players_seasonal_stats_raw,avg_free_kicks_against,0.6,1.5,0.9,-0.7500000000000001,2.85,360,1.47
afl_players_seasonal_stats_raw,avg_contested_marks,0.1,1.0,0.9,-1.25,2.35,406,1.97
afl_players_seasonal_stats_raw,avg_marks_inside_50,0.0,1.0,1.0,-1.5,2.5,747,3.68
afl_players_seasonal_stats_raw,avg_goal_assists,0.0,0.8,0.8,-1.2000000000000002,2.0,54,0.29
afl_players_seasonal_stats_raw,avg_score,0.4,5.2,4.8,-6.799999999999999,12.399999999999999,1228,4.82
afl_players_seasonal_stats_raw,avg_fantasy_points,45.0,73.8,28.799999999999997,1.8000000000000043,117.0,153,0.6
team_matches_home_away_raw (1),team_score,71.0,110.0,39.0,12.5,168.5,193,1.22
team_matches_home_away_raw (1),opponent_score,71.0,110.0,39.0,12.5,168.5,193,1.22
team_matches_home_away_raw (1),team_goals_kicked,10.0,16.0,6.0,1.0,25.0,199,1.26
team_matches_home_away_raw (1),opponent_goals_kicked,10.0,16.0,6.0,1.0,25.0,199,1.26
