match_key,match_date,team_name,opponent,avg_score_last_5,avg_margin_last_5,days_rest,team_avg_player_disposals_last_5,team_avg_player_goals_last_5
1991-03-22_Adelaide Crows_vs_hawthorn hawks,1991-03-22,Adelaide Crows,hawthorn hawks,0.0,0.0,0.0,,
1991-03-31_Adelaide Crows_vs_Carlton Blues,1991-03-31,Adelaide Crows,Carlton Blues,155.0,86.0,9.0,15.0,
1991-04-07_Adelaide Crows_vs_Sydney Swans,1991-04-07,Adelaide Crows,Sydney Swans,118.0,31.5,7.0,14.0,
1991-04-13_Adelaide Crows_vs_Essendon Bombers,1991-04-13,Adelaide Crows,Essendon Bombers,122.66666666666667,29.0,6.0,13.666666666666666,1.0
1991-04-21_Adelaide Crows_vs_West Coast Eagles,1991-04-21,Adelaide Crows,West Coast Eagles,103.75,10.5,8.0,10.5,1.0
1991-04-28_Adelaide Crows_vs_Western Bulldogs,1991-04-28,Adelaide Crows,Western Bulldogs,96.0,-4.6,7.0,10.0,1.6666666666666667
1991-05-04_Adelaide Crows_vs_St Kilda Saints,1991-05-04,Adelaide Crows,St Kilda Saints,90.6,-15.6,6.0,11.633333333333333,1.8333333333333333
1991-05-17_Adelaide Crows_vs_North Melbourne Kangaroos,1991-05-17,Adelaide Crows,North Melbourne Kangaroos,80.6,-37.2,13.0,11.911111111111111,1.8333333333333333
1991-05-24_Adelaide Crows_vs_melbourne demons,1991-05-24,Adelaide Crows,melbourne demons,77.8,-42.4,7.0,,
1991-06-01_Adelaide Crows_vs_Geelong Cats,1991-06-01,Adelaide Crows,Geelong Cats,89.6,-26.6,8.0,14.325,1.5
1991-06-09_Adelaide Crows_vs_Fitzroy Lions,1991-06-09,Adelaide Crows,Fitzroy Lions,95.2,-30.4,8.0,15.125,1.8333333333333333
1991-06-15_Adelaide Crows_vs_Richmond Tigers,1991-06-15,Adelaide Crows,Richmond Tigers,79.6,-36.0,6.0,14.962499999999999,1.7777777777777777
1991-06-23_Adelaide Crows_vs_Brisbane Bears,1991-06-23,Adelaide Crows,Brisbane Bears,90.4,-2.2,8.0,14.05,1.8055555555555556
1991-06-29_Adelaide Crows_vs_Collingwood Magpies,1991-06-29,Adelaide Crows,Collingwood Magpies,98.0,11.4,6.0,15.15,2.027777777777778
1991-07-06_Adelaide Crows_vs_hawthorn hawks,1991-07-06,Adelaide Crows,hawthorn hawks,84.2,-20.0,7.0,,
1991-07-13_Adelaide Crows_vs_Carlton Blues,1991-07-13,Adelaide Crows,Carlton Blues,84.6,-15.8,7.0,14.55,2.425
1991-07-21_Adelaide Crows_vs_Sydney Swans,1991-07-21,Adelaide Crows,Sydney Swans,85.6,-15.0,8.0,14.95,2.2666666666666666
1991-07-28_Adelaide Crows_vs_essendon bombers,1991-07-28,Adelaide Crows,essendon bombers,92.2,-23.4,7.0,,
1991-08-04_Adelaide Crows_vs_West Coast Eagles,1991-08-04,Adelaide Crows,West Coast Eagles,82.6,-31.2,7.0,11.0,1.8
1991-08-10_Adelaide Crows_vs_Western Bulldogs,1991-08-10,Adelaide Crows,Western Bulldogs,91.2,-9.6,6.0,13.116666666666667,1.9
1991-08-16_Adelaide Crows_vs_St Kilda Saints,1991-08-16,Adelaide Crows,St Kilda Saints,80.2,-1.8,6.0,13.4,1.6
1991-09-01_Adelaide Crows_vs_North Melbourne Kangaroos,1991-09-01,Adelaide Crows,North Melbourne Kangaroos,85.4,-13.4,16.0,15.25,1.8333333333333335
1992-03-22_Adelaide Crows_vs_western bulldogs,1992-03-22,Adelaide Crows,western bulldogs,97.8,2.0,203.0,,
1992-04-04_Adelaide Crows_vs_Melbourne Demons,1992-04-04,Adelaide Crows,Melbourne Demons,93.6,-8.8,13.0,14.799999999999999,1.9
1992-04-11_Adelaide Crows_vs_Fitzroy Lions,1992-04-11,Adelaide Crows,Fitzroy Lions,98.4,-4.0,7.0,15.180000000000001,1.4166666666666667
1992-04-19_Adelaide Crows_vs_Richmond Tigers,1992-04-19,Adelaide Crows,Richmond Tigers,109.8,-5.8,8.0,15.177777777777777,1.7899999999999998
1992-04-26_Adelaide Crows_vs_Brisbane Bears,1992-04-26,Adelaide Crows,Brisbane Bears,123.8,11.2,7.0,15.608333333333334,2.35
1992-05-02_Adelaide Crows_vs_st kilda saints,1992-05-02,Adelaide Crows,st kilda saints,114.6,8.6,6.0,,
1992-05-09_Adelaide Crows_vs_Geelong Cats,1992-05-09,Adelaide Crows,Geelong Cats,110.2,-0.8,7.0,14.6,2.125
1992-05-17_Adelaide Crows_vs_Collingwood Magpies,1992-05-17,Adelaide Crows,Collingwood Magpies,106.8,-27.2,8.0,13.0,1.9
1992-05-22_Adelaide Crows_vs_West Coast Eagles,1992-05-22,Adelaide Crows,West Coast Eagles,100.2,-21.6,5.0,13.18125,2.3
1992-05-31_Adelaide Crows_vs_North Melbourne Kangaroos,1992-05-31,Adelaide Crows,North Melbourne Kangaroos,85.6,-36.4,9.0,13.7625,2.345833333333333
1992-06-08_Adelaide Crows_vs_Hawthorn Hawks,1992-06-08,Adelaide Crows,Hawthorn Hawks,87.2,-41.4,8.0,15.016666666666666,2.020833333333333
1992-06-13_Adelaide Crows_vs_carlton blues,1992-06-13,Adelaide Crows,carlton blues,94.8,-26.4,5.0,,
1992-06-21_Adelaide Crows_vs_Essendon Bombers,1992-06-21,Adelaide Crows,Essendon Bombers,95.8,-6.4,8.0,16.166666666666668,1.65
1992-06-26_Adelaide Crows_vs_Sydney Swans,1992-06-26,Adelaide Crows,Sydney Swans,101.4,-14.2,5.0,16.233333333333334,1.7
1992-07-04_Adelaide Crows_vs_Western Bulldogs,1992-07-04,Adelaide Crows,Western Bulldogs,115.6,7.2,8.0,16.633333333333333,1.8333333333333333
1992-07-19_Adelaide Crows_vs_Melbourne Demons,1992-07-19,Adelaide Crows,Melbourne Demons,98.4,-17.2,15.0,16.05,2.083333333333333
1992-07-25_Adelaide Crows_vs_Fitzroy Lions,1992-07-25,Adelaide Crows,Fitzroy Lions,91.2,-27.2,6.0,15.942857142857141,1.73
1992-08-02_Adelaide Crows_vs_richmond tigers,1992-08-02,Adelaide Crows,richmond tigers,99.2,-5.6,8.0,,
1992-08-09_Adelaide Crows_vs_brisbane bears,1992-08-09,Adelaide Crows,brisbane bears,113.4,25.2,7.0,,
1992-08-16_Adelaide Crows_vs_St Kilda Saints,1992-08-16,Adelaide Crows,St Kilda Saints,105.6,18.4,7.0,16.8,1.2777777777777777
1992-08-23_Adelaide Crows_vs_geelong cats,1992-08-23,Adelaide Crows,geelong cats,113.0,39.0,7.0,,
1992-08-29_Adelaide Crows_vs_Collingwood Magpies,1992-08-29,Adelaide Crows,Collingwood Magpies,133.4,67.0,6.0,17.474999999999998,1.3333333333333333
1993-03-28_Adelaide Crows_vs_Richmond Tigers,1993-03-28,Adelaide Crows,Richmond Tigers,123.4,49.0,211.0,14.50625,1.7916666666666667
1993-04-04_Adelaide Crows_vs_West Coast Eagles,1993-04-04,Adelaide Crows,West Coast Eagles,126.4,45.8,7.0,15.142857142857142,2.416666666666667
1993-04-16_Adelaide Crows_vs_Fitzroy Lions,1993-04-16,Adelaide Crows,Fitzroy Lions,124.6,42.2,12.0,15.683333333333334,2.3
1993-04-25_Adelaide Crows_vs_Melbourne Demons,1993-04-25,Adelaide Crows,Melbourne Demons,126.6,39.2,9.0,14.835714285714285,2.5
1993-04-30_Adelaide Crows_vs_Hawthorn Hawks,1993-04-30,Adelaide Crows,Hawthorn Hawks,106.4,19.2,5.0,13.885714285714286,2.416666666666667
1993-05-08_Adelaide Crows_vs_Collingwood Magpies,1993-05-08,Adelaide Crows,Collingwood Magpies,107.6,16.8,8.0,13.277777777777779,2.0904761904761906
1993-05-16_Adelaide Crows_vs_North Melbourne Kangaroos,1993-05-16,Adelaide Crows,North Melbourne Kangaroos,87.2,-7.0,8.0,13.761111111111111,1.9238095238095239
1993-05-22_Adelaide Crows_vs_Essendon Bombers,1993-05-22,Adelaide Crows,Essendon Bombers,91.6,-9.6,6.0,14.25,2.1555555555555554
1993-05-30_Adelaide Crows_vs_Brisbane Bears,1993-05-30,Adelaide Crows,Brisbane Bears,84.0,-19.0,8.0,14.311111111111112,2.119047619047619
1993-06-13_Adelaide Crows_vs_Western Bulldogs,1993-06-13,Adelaide Crows,Western Bulldogs,94.8,-9.8,14.0,14.9375,2.316666666666667
1993-06-19_Adelaide Crows_vs_Carlton Blues,1993-06-19,Adelaide Crows,Carlton Blues,98.6,2.6,6.0,16.31875,2.68
1993-06-27_Adelaide Crows_vs_Geelong Cats,1993-06-27,Adelaide Crows,Geelong Cats,98.8,-8.2,8.0,16.694444444444443,1.8916666666666666
1993-07-02_Adelaide Crows_vs_Sydney Swans,1993-07-02,Adelaide Crows,Sydney Swans,97.2,-4.6,5.0,17.294444444444444,1.8666666666666667
1993-07-11_Adelaide Crows_vs_St Kilda Saints,1993-07-11,Adelaide Crows,St Kilda Saints,109.4,13.4,9.0,17.144444444444446,2.092857142857143
1993-07-16_Adelaide Crows_vs_Richmond Tigers,1993-07-16,Adelaide Crows,Richmond Tigers,116.2,24.6,5.0,17.794444444444444,2.1761904761904765
1993-07-25_Adelaide Crows_vs_West Coast Eagles,1993-07-25,Adelaide Crows,West Coast Eagles,129.0,43.4,9.0,18.675,2.488888888888889
1993-08-07_Adelaide Crows_vs_Fitzroy Lions,1993-08-07,Adelaide Crows,Fitzroy Lions,127.6,51.8,13.0,17.19,2.3125
1993-08-15_Adelaide Crows_vs_Melbourne Demons,1993-08-15,Adelaide Crows,Melbourne Demons,123.4,46.8,8.0,16.48,2.1291666666666664
1993-08-21_Adelaide Crows_vs_Hawthorn Hawks,1993-08-21,Adelaide Crows,Hawthorn Hawks,119.2,49.8,6.0,17.177777777777777,1.8958333333333333
1993-08-29_Adelaide Crows_vs_Collingwood Magpies,1993-08-29,Adelaide Crows,Collingwood Magpies,105.6,25.8,8.0,17.025,1.9666666666666666
1993-09-05_Adelaide Crows_vs_Hawthorn Hawks,1993-09-05,Adelaide Crows,Hawthorn Hawks,98.4,2.8,7.0,15.35,1.738095238095238
1993-09-11_Adelaide Crows_vs_Carlton Blues,1993-09-11,Adelaide Crows,Carlton Blues,106.4,13.2,6.0,16.2,2.0027777777777778
1993-09-18_Adelaide Crows_vs_essendon bombers,1993-09-18,Adelaide Crows,essendon bombers,101.2,10.6,7.0,,
