home_away,venue,Average_Fantasy,Average_Score,Average_Crowd,Records
A,AAMI Stadium,61.669809885931556,,33962.35178707224,6575
A,"AAMI Stadium
",59.448780487804875,,35159.50731707317,205
A,Accor Stadium,63.18162839248434,,43821.13674321503,958
A,"Accor Stadium
",67.91304347826087,,31162.0,23
A,Adelaide Hills,62.34782608695652,,8630.333333333334,69
A,Adelaide Oval,64.87451302029936,,38877.3725651015,4877
A,"Adelaide Oval
",67.20588235294117,,45697.654411764706,136
A,Aegis Park,28.0,,17290.0,1
A,Barossa Park,69.08695652173913,,10028.0,23
A,"Barossa Park
",64.65217391304348,,9317.0,23
A,Blacktown International,75.31818181818181,,6875.0,22
A,Bruce Stadium,38.857142857142854,,11282.0,7
A,Cazaly's Stadium,61.48790322580645,,14402.935483870968,248
A,Domain Stadium,63.358248134843876,,34743.92373583863,7238
A,"Domain Stadium
",60.05244755244755,,33103.32867132867,286
A,ENGIE Stadium,65.54555744199207,,12774.988115449914,1767
A,"ENGIE Stadium
",62.17391304347826,,8034.0,23
A,GMHBA Stadium,61.34809945698771,,23933.871391826237,3499
A,"GMHBA Stadium
",60.13461538461539,,26750.28846153846,104
A,Hands Oval,60.04347826086956,,12715.0,23
A,Jiangwan Stadium,76.86363636363636,,10050.5,44
A,Junction Oval,99.0,,17715.0,2
A,Manuka Oval,65.47105263157894,,11176.647368421052,760
A,"Manuka Oval
",51.54545454545455,,12401.0,44
A,Mars Stadium,66.30188679245283,,8417.157232704403,159
A,"Mars Stadium
",63.80434782608695,,3883.0,46
A,Marvel Stadium,66.52187037247978,,32156.393211071878,17558
A,"Marvel Stadium
",64.76222826086956,,30161.630434782608,736
A,Melbourne Cricket Ground,64.94726852615943,,51003.46538207625,24236
A,"Melbourne Cricket Ground
",63.45454545454545,,54877.211363636365,880
A,Moorabbin Oval,61.28358208955224,,21908.507462686568,67
A,Ninja Stadium,66.11775043936731,,10415.831282952548,569
A,"Ninja Stadium
",65.22727272727273,,10641.0,22
A,Norwood Oval,69.31304347826087,,9253.6,115
A,Optus Stadium,66.44493392070484,,42063.289732294135,2951
A,"Optus Stadium
",69.59292035398231,,45009.44247787611,113
A,People First Stadium,67.01487111698611,,16420.066754791806,3026
A,"People First Stadium
",62.90909090909091,,19212.900826446283,121
A,Princes Park,56.22666025024061,,19806.582771896054,2078
A,"Princes Park
",57.08695652173913,,20834.014492753624,69
A,Riverway Stadium,70.30434782608695,,7243.0,23
A,Sydney Cricket Ground,61.42874323511726,,28298.380236520345,4989
