venue,Average_Fantasy,Matches
Junction Oval,99.0,2
"UTAS Stadium
",74.52272727272727,88
TIO Traeger Park,70.48395061728395,405
Riverway Stadium,70.3695652173913,46
Jiangwan Stadium,70.14035087719299,114
Westpac Stadium,69.77777777777777,90
Moorabbin Oval,69.11413043478261,184
"Accor Stadium
",68.86666666666666,45
Norwood Oval,68.69082125603865,207
"Optus Stadium
",68.18536585365854,205
ENGIE Stadium,68.1315305854555,3809
UTAS Stadium,67.96713917525773,3104
Blacktown International,67.88888888888889,45
"The Gabba
",67.48013245033113,302
Marvel Stadium,67.39661218424963,33650
Ninja Stadium,67.303504847129,1341
"GMHBA Stadium
",67.10377358490567,212
"TIO Stadium
",66.88888888888889,45
"Marvel Stadium
",66.58326563769293,1231
Adelaide Oval,66.56958660109,7523
Mars Stadium,66.25824175824175,182
Optus Stadium,66.16924315619968,6210
GMHBA Stadium,66.13980081150866,8133
"Melbourne Cricket Ground
",66.07415730337078,1780
Manuka Oval,66.00823529411765,1700
TIO Stadium,65.98009367681499,854
"Adelaide Oval
",65.929203539823,226
Melbourne Cricket Ground,65.4835314488045,51401
People First Stadium,65.48265321717867,6543
Domain Stadium,65.20971931825382,15783
Accor Stadium,64.85931558935361,1841
Barossa Park,64.82608695652173,69
"Barossa Park
",64.65217391304348,23
Adelaide Hills,64.51449275362319,138
"Mars Stadium
",63.80434782608695,46
The Gabba,63.660478288231594,12712
"People First Stadium
",63.52791878172589,197
Sydney Cricket Ground,63.35452534384919,10397
"Domain Stadium
",63.07862407862408,407
Cazaly's Stadium,62.910714285714285,448
AAMI Stadium,62.22933655491795,9933
"ENGIE Stadium
",62.17391304347826,23
"Manuka Oval
",61.98717948717949,156
Hands Oval,61.76086956521739,46
"Victoria Park
",61.333333333333336,12
Windy Hill,61.03092783505155,194
Victoria Park,60.95531587057011,649
"AAMI Stadium
",60.904761904761905,294
"Ninja Stadium
",60.25,68
"Princes Park
",59.82222222222222,180
Waverley Park,59.53739800543971,4412
Princes Park,58.628691983122366,4266
"Sydney Cricket Ground
",58.32122905027933,358
WACA,58.20605612998523,1354
Western Oval,58.112881806108895,753
"Windy Hill
",57.8,20
"Western Oval
",56.5,4
"Waverley Park
",54.05785123966942,121
Bruce Stadium,51.5,20
"WACA
",51.11764705882353,17
Aegis Park,28.0,1
