id,team,year,career_game_count,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,player_id,match_date,fantasy_points,score,margin,team_name,home_away,venue,crowd,_merge
590676,Western Bulldogs,1994,36,St Kilda Saints,21,W,35,12.0,10.0,8.0,15.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45656,1994-08-13,81,,45,,,,,left_only
501586,Port Adelaide Power,1997,69,Brisbane Lions,20,D,39,12.0,7.0,6.0,13.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45591,1997-08-16,68,,0,,,,,left_only
561912,Sydney Swans,1997,12,Adelaide Crows,8,L,23,1.0,4.0,1.0,-3.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45773,1997-05-17,2,,-89,,,,,left_only
509866,Richmond Tigers,1993,48,Fitzroy Lions,11,W,20,2.0,4.0,2.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45981,1993-06-12,14,,26,,,,,left_only
590785,Western Bulldogs,2002,145,Geelong Cats,9,W,35,9.0,4.0,6.0,14.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45656,2002-05-25,1,,12,,,,,left_only
590716,Western Bulldogs,1997,76,Adelaide Crows,PF,L,35,4.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45656,1997-09-20,25,,-2,,,,,left_only
590681,Western Bulldogs,1994,41,Melbourne Demons,SF,L,35,2.0,1.0,6.0,14.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45656,1994-09-18,6,,-79,,,,,left_only
513849,Brisbane Lions,2001,62,Port Adelaide Power,16,W,5,4.0,1.0,6.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,84.0,45864,2001-07-21,27,,34,,,,,left_only
590658,Western Bulldogs,1994,18,Richmond Tigers,1,W,35,19.0,6.0,7.0,21.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45656,1994-03-26,103,,2,,,,,left_only
548039,Port Adelaide Power,2000,9,Essendon Bombers,16,L,25,9.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,84.0,45409,2000-06-24,40,,-31,,,,,left_only
